Seconds	CPU Usage	Load Average	Memory Usage
1	50.000000	14.000000	776
2	13.340000	13.000000	777
3	10.790000	13.000000	776
4	8.260000	13.000000	775
5	22.230000	13.000000	781
6	23.420000	20.000000	790
7	26.360000	20.000000	803
8	30.100000	20.000000	802
9	19.330000	20.000000	805
10	18.400000	20.000000	810
11	13.180000	18.000000	812
12	18.500000	18.000000	820
13	20.180000	18.000000	844
14	14.500000	18.000000	848
15	22.040000	121.000000	857
16	28.800000	121.000000	862
17	22.300000	121.000000	866
18	27.890000	121.000000	889
19	31.490000	111.000000	901
20	26.480000	111.000000	904
21	26.300000	111.000000	914
22	22.710000	111.000000	924
23	24.410000	110.000000	936
24	25.730000	110.000000	938
25	27.410000	110.000000	939
26	17.400000	110.000000	938
27	16.020000	110.000000	939
28	19.100000	101.000000	942
29	15.390000	101.000000	948
30	23.420000	101.000000	959
31	14.430000	101.000000	962
32	12.020000	101.000000	963
33	12.600000	93.000000	966
34	14.010000	93.000000	968
35	12.450000	93.000000	970
36	12.570000	93.000000	970
37	10.580000	86.000000	970
38	9.140000	86.000000	970
39	7.770000	86.000000	970
40	10.630000	86.000000	971
41	13.530000	86.000000	978
42	7.660000	79.000000	976
43	7.290000	79.000000	976
44	8.700000	79.000000	977
45	10.100000	79.000000	982
46	14.860000	79.000000	984
47	16.510000	73.000000	989
48	26.320000	73.000000	994
49	20.880000	73.000000	997
50	19.140000	73.000000	997
51	19.160000	73.000000	997
52	30.100000	75.000000	1009
53	37.620000	75.000000	1024
54	48.560000	75.000000	1037
55	44.800000	75.000000	1039
56	26.300000	69.000000	1050
57	34.140000	69.000000	1053
58	23.310000	69.000000	1055
59	20.200000	69.000000	1056
60	24.640000	69.000000	1055
61	25.610000	63.000000	1058
62	42.190000	63.000000	1059
63	60.800000	63.000000	1075
64	29.670000	63.000000	1072
65	14.100000	63.000000	1073
66	19.240000	58.000000	1032
67	13.470000	58.000000	1032
68	19.420000	58.000000	1035
69	38.840000	58.000000	1039
70	44.240000	58.000000	1045
71	28.370000	53.000000	1044
72	25.130000	53.000000	1052
73	49.770000	53.000000	1055
74	50.490000	53.000000	1063
75	17.000000	53.000000	1063
76	14.430000	57.000000	1064
77	28.370000	57.000000	1075
78	27.410000	57.000000	1083
79	27.410000	57.000000	1084
80	15.870000	53.000000	1089
81	23.790000	53.000000	1094
82	41.430000	53.000000	1109
83	40.670000	53.000000	1150
84	22.710000	53.000000	1132
85	12.500000	48.000000	1141
86	19.140000	48.000000	1149
87	24.410000	48.000000	1155
88	21.160000	48.000000	1162
89	19.330000	48.000000	1170
90	27.280000	44.000000	1193
91	24.160000	44.000000	1206
92	30.420000	44.000000	1219
93	40.300000	44.000000	1233
94	20.100000	44.000000	1234
95	28.370000	41.000000	1247
96	17.310000	41.000000	1250
97	18.670000	41.000000	1253
98	14.010000	41.000000	1250
99	14.360000	41.000000	1250
100	12.900000	38.000000	1250
101	14.430000	38.000000	1251
102	17.710000	38.000000	1253
103	21.060000	38.000000	1258
104	28.850000	51.000000	1282
105	15.050000	51.000000	1287
106	25.000000	51.000000	1304
107	30.290000	51.000000	1329
108	19.720000	51.000000	1333
109	15.500000	46.000000	1334
110	32.860000	46.000000	1346
111	28.370000	46.000000	1343
112	14.100000	46.000000	1343
113	16.270000	46.000000	1343
114	12.900000	43.000000	1344
115	13.400000	43.000000	1344
116	13.050000	43.000000	1344
117	17.880000	43.000000	1346
118	16.350000	43.000000	1346
119	18.100000	55.000000	1346
120	15.870000	55.000000	1347
121	13.110000	55.000000	1347
122	16.120000	55.000000	1347
123	12.020000	55.000000	1348
124	14.360000	59.000000	1348
125	12.020000	59.000000	1352
126	11.600000	59.000000	1352
127	15.240000	59.000000	1353
128	13.500000	62.000000	1353
129	11.060000	62.000000	1353
130	13.400000	62.000000	1354
131	12.450000	62.000000	1354
132	14.100000	62.000000	1354
133	16.350000	65.000000	1355
134	15.870000	65.000000	1354
135	16.350000	65.000000	1355
136	23.450000	65.000000	1352
137	33.020000	65.000000	1354
138	41.630000	60.000000	1356
139	43.070000	60.000000	1360
140	62.680000	60.000000	1362
141	46.160000	60.000000	1364
142	17.310000	60.000000	1365
143	16.270000	55.000000	1365
144	17.790000	55.000000	1365
145	19.140000	55.000000	1365
146	15.390000	55.000000	1366
147	17.000000	55.000000	1366
148	18.580000	59.000000	1367
149	24.040000	59.000000	1364
150	20.880000	59.000000	1365
151	20.200000	59.000000	1365
152	19.620000	54.000000	1366
153	14.360000	54.000000	1366
154	14.430000	54.000000	1367
155	14.010000	54.000000	1367
156	16.430000	54.000000	1367
157	18.670000	58.000000	1367
158	18.750000	58.000000	1367
159	17.310000	58.000000	1368
160	15.540000	58.000000	1368
161	17.790000	58.000000	1369
162	20.100000	61.000000	1369
163	16.750000	61.000000	1369
164	18.270000	61.000000	1370
165	18.270000	61.000000	1371
166	21.640000	61.000000	1371
167	18.850000	56.000000	1371
168	16.430000	56.000000	1372
169	19.240000	56.000000	1372
170	17.710000	56.000000	1373
171	19.330000	56.000000	1375
172	19.140000	60.000000	1376
173	18.190000	60.000000	1377
174	17.000000	60.000000	1377
175	19.240000	60.000000	1378
176	17.620000	55.000000	1382
177	19.030000	55.000000	1383
178	17.710000	55.000000	1383
179	21.540000	55.000000	1384
180	20.290000	55.000000	1384
181	17.880000	58.000000	1385
182	20.100000	58.000000	1385
183	19.810000	58.000000	1383
184	17.790000	58.000000	1383
185	24.410000	58.000000	1387
186	27.060000	62.000000	1393
187	24.890000	62.000000	1394
188	31.890000	62.000000	1403
189	25.610000	62.000000	1406
190	34.300000	62.000000	1408
191	62.390000	65.000000	1428
192	60.190000	65.000000	1441
193	15.840000	65.000000	1441
194	15.640000	65.000000	1440
195	15.390000	68.000000	1440
196	25.360000	68.000000	1437
197	14.430000	68.000000	1435
198	39.620000	68.000000	1459
199	58.100000	68.000000	1480
200	78.130000	70.000000	1508
201	44.500000	70.000000	1509
202	47.400000	70.000000	1510
203	27.280000	70.000000	1510
204	25.720000	70.000000	1512
205	25.490000	65.000000	1512
206	23.190000	65.000000	1513
207	25.700000	65.000000	1513
208	30.000000	65.000000	1514
209	26.300000	65.000000	1515
210	31.140000	59.000000	1515
211	32.220000	59.000000	1515
212	35.850000	59.000000	1516
213	45.200000	59.000000	1516
214	22.710000	59.000000	1516
215	36.370000	63.000000	1517
216	29.330000	63.000000	1515
217	23.300000	63.000000	1516
218	33.810000	63.000000	1517
219	29.050000	82.000000	1517
220	17.230000	82.000000	1518
221	26.300000	82.000000	1515
222	29.530000	82.000000	1516
223	23.450000	82.000000	1517
224	34.140000	83.000000	1517
225	30.000000	83.000000	1517
226	26.450000	83.000000	1518
227	25.000000	83.000000	1518
228	25.120000	83.000000	1518
229	28.900000	84.000000	1518
230	24.890000	84.000000	1517
231	28.370000	84.000000	1506
232	30.000000	84.000000	1509
233	35.890000	84.000000	1513
234	20.780000	94.000000	1513
235	50.000000	94.000000	1521
236	60.580000	94.000000	1525
237	28.710000	94.000000	1526
238	30.200000	94.000000	1526
239	31.580000	94.000000	1526
240	30.810000	94.000000	1527
241	33.820000	94.000000	1525
242	25.500000	94.000000	1525
243	28.710000	86.000000	1524
244	32.220000	86.000000	1525
245	50.000000	86.000000	1546
246	72.150000	86.000000	1537
247	51.100000	86.000000	1544
248	33.810000	80.000000	1541
249	45.680000	80.000000	1545
250	29.670000	80.000000	1545
251	32.540000	80.000000	1546
252	27.620000	80.000000	1547
253	27.410000	89.000000	1548
254	31.580000	89.000000	1543
255	27.620000	89.000000	1540
256	27.410000	89.000000	1538
257	25.700000	89.000000	1539
258	28.850000	98.000000	1539
259	28.710000	98.000000	1539
260	32.230000	98.000000	1540
261	30.770000	98.000000	1540
262	33.600000	130.000000	1544
263	38.030000	130.000000	1543
264	31.430000	130.000000	1545
265	29.330000	130.000000	1545
266	32.540000	130.000000	1519
267	35.720000	136.000000	1521
268	51.660000	136.000000	1530
269	27.190000	136.000000	1531
270	22.120000	136.000000	1531
271	25.000000	136.000000	1539
272	36.670000	133.000000	1535
273	21.640000	133.000000	1531
274	53.780000	133.000000	1537
275	53.590000	133.000000	1542
276	29.050000	133.000000	1543
277	27.410000	130.000000	1543
278	29.670000	130.000000	1544
279	29.470000	130.000000	1542
280	30.600000	130.000000	1540
281	28.370000	136.000000	1541
282	32.080000	136.000000	1541
